Verizon Enterprise Latency Statistics for Country Specific Metrics (ms),,,,,,,,,,,,
NZ to India (290.000),170.529,171.578,170.765,165.436,161.333,161.99,162.887,162.273,164.948,162.618,162.55,162.411
NZ to Hongkong (230.000),142.84,142.863,142.869,142.83,142.851,142.827,146.239,143.922,145.977,143.497,132.524,143.666
NZ to Korea (250.000),171.848,181.879,187.387,171.886,171.782,171.549,174.482,171.845,174.098,171.803,172.407,170.994
NZ to Singapore (190.000),113.473,115.167,113.823,114.371,114.353,114.959,116.153,114.895,115.791,115.488,112.803,114.741
NZ to Australia (60.000),24.607,24.567,24.595,24.367,24.27,24.236,26.656,24.213,26.422,24.236,24.838,24.236
NZ to Japan (190.000),137.221,148.313,154.861,137.167,137.107,137.061,140.01,137.433,139.058,136.831,137.656,136.929
NZ to Taiwan (250.000),182.556,168.393,168.421,168.172,168.635,168.3,172.644,169.245,171.709,172.023,170.736,168.852
Sydney to Adelaide (40.000),-,-,-,-,-,-,-,-,-,-,-,-
Sydney to Brisbane (40.000),-,-,-,-,-,-,12.133,12.124,12.159,12.18,12.136,12.164
Sydney to Melborne (40.000),-,-,-,-,-,-,-,-,13.775,13.761,13.769,13.763
Sydney to Perth (80),-,-,-,-,-,-,-,-,-,-,-,-
